Gender,Age Range,"How did you hear about our BETA Savings account? Advert, Beta Friends, Friends, Family, Others",Do you know your BETA friend,Do you know about our Target Savings account?,How satisfied are you with your BETA account?,Do your requests get treated in a timely manner?,Please rate your experience with your BETA Friend,How do you resolve your complaints?,Will you be interested in loan offerings from us?,Did you know you can use our USSD services on *614*045# to check your balance and buy airtime?,Please tell us how best we can serve you
Male,25-34,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,more visit by BETA friend and gift items
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,They should improve in beta account so we can have easy transactions like other account
Male,35-44,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Ensure I can make transfer on my beta acct 
Male,35-44,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Enable the account on mobile banking
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,SMS Alert 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Please work on transfer
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Interest on target savers 
Female,35-44,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Interest on beta account
Female,25-34,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Interest on account 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I am very satisfied with the servers but we need to get gift from you guys that show that we are banking with us 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,No,Very good,Talk to a BETA friend,Yes,No,"By educating customer care on BETA
 By giving loan to existing customers"
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,The bank should assist in the areas of bank one network.
Female,45-59,BETA Friends,Yes,No,Very Satisfied,Yes,Good,Talk to a BETA friend,No,No,"Theirs always delay whenever I want to withdraw,so the service should be improved in that aspect."
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Bank one should improve in their networks in the areas of withdrawal .
Male,45-59,BETA Friends,No,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,To able to transfer to other  bank from my beta acct
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Just improve the network.....
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Just to improve the network system
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,To be able to transfer money to another bank
Male,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,To be able to transfer money to another bank
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,To improve in there network
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,No,Withdrawal should be made seamless . 
Female,45-59,Advert,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Bank should pay customers interest on target savers
Male,45-59,Others,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,No,Yes,Bad network 
Male,25-34,Advert,Yes,No,Satisfied,Yes,Excellent,Talk to a BETA friend,No,No,Keep up with the good work 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Interest on target savers
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I just want the teller to pay me my money on time 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Let alert be coming on time 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,No,Your service is good.just that transfer take days before it drop please they should work on that thanks 
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,The service is okay 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"For now,Am enjoying the service of the BETA account because it helps me to save money for me and shop rent.. how ever, I think the bank should improve on network service for transfer and alert thanks "
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I don't have any issues with the account..all i need is the time for transfer thanks 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,No,I look forward for a better network 
Male,25-34,BETA Friends,Yes,Yes,Satisfied,No,Good,Talk to a BETA friend,No,Yes,Make transfer form beta account to other account easy 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,No,Very good,Talk to a BETA friend,No,Yes,Make transfer form beta account to other account easy 
Male,25-34,BETA Friends,Yes,Yes,Satisfied,No,Excellent,Visit a Branch,No,Yes,Make transfer form beta account to other account easy 
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Make transfer form beta account to other account easy 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,No,Excellent,Visit a Branch,Yes,Yes,Make transfer form beta account to other account easy 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,No,"Kindly assist on getting alert because any time I transfer from my account to my Beta account it takes many days before I see alert and also before to access the money they will now be saying the cash is not in my Beta not in target saving is very annoying,kindly assist on this"
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I need my transaction to be treated in terms of needs.
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I will like my transaction to be treated in terms of needs 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I want to get access to transfer with my beta account 
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Network stability
Female,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,No,Yes,They should make it possible for outword transfer through mobile device
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I want each time i want to make transfer from my beta account i can be able to do it on my phone without going to the bank 
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Network stability through transfer from beta to access account in the branch
